Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=2.6534)   P(D|M,rr[2]=0.2289)   P(D|M,rr[3]=0.4957)   P(D|M,rr[4]=1.0697)   Posterior mean        
37     1.64004e-12     1.74378e-19           4.92889e-12           1.02891e-12           1.24304e-15           0.275068              
38     1.76225e-12     1.26135e-19           5.38122e-12           1.02077e-12           9.92933e-16           0.271495              
39     6.20131e-13     2.07211e-19           1.79554e-12           4.56931e-13           8.42249e-16           0.283228              
40     7.67234e-14     1.57143e-19           1.83813e-13           9.46975e-14           3.19614e-16           0.320329              
41     9.06338e-13     1.95151e-19           2.64661e-12           6.45548e-13           1.09365e-15           0.281393              
42     2.49658e-10     1.28316e-19           8.74789e-10           3.22323e-11           5.50345e-15           0.23834               
43     4.71434e-10     2.60236e-19           1.64147e-09           7.12727e-11           1.61593e-14           0.239963              
44     5.3742e-06      2.38757e-19           1.94735e-05           5.09439e-08           3.45286e-13           0.229554              
45     6.93491e-09     1.99072e-19           2.47972e-08           3.97458e-10           2.63805e-14           0.233066              
46     7.50481e-15     1.59512e-19           1.07479e-14           1.63463e-14           2.01625e-16           0.394351              
47     5.06297e-13     1.21536e-19           1.51817e-12           3.21051e-13           3.98582e-16           0.27557               
48     3.85557e-14     1.59341e-19           8.6279e-14            5.35673e-14           2.90312e-16           0.332414              
49     2.16909e-11     1.96403e-19           7.26083e-11           6.19623e-12           2.47502e-15           0.249851              
50     2.18235e-07     2.99426e-19           7.87622e-07           5.22482e-09           1.20385e-13           0.230616              
51     2.59401e-11     1.38237e-19           8.70078e-11           7.2343e-12            2.91496e-15           0.249353              
52     2.69638e-10     2.60688e-19           9.40331e-10           3.92766e-11           9.23627e-15           0.239558              
53     8.20244e-09     2.8157e-19            2.93312e-08           4.68439e-10           2.92667e-14           0.233051              
54     3.28474e-11     1.89867e-19           1.09239e-10           1.00976e-11           4.82745e-15           0.251454              
55     7.51007e-10     2.16529e-19           2.63132e-09           9.71262e-11           1.39745e-14           0.238355              
56     1.57212e-11     2.37862e-19           5.17178e-11           5.3975e-12            3.37413e-15           0.254105              
57     6.76065e-10     1.80702e-19           2.37078e-09           8.54007e-11           1.29285e-14           0.238135              
58     2.30223e-11     1.30112e-19           7.6943e-11            6.69852e-12           2.93298e-15           0.250243              
59     3.46111e-12     1.71105e-19           1.04261e-11           2.14744e-12           2.32123e-15           0.274542              
60     3.63416e-15     1.00309e-19           5.81496e-15           7.33041e-15           6.91923e-17           0.380903              
61     3.12603e-10     1.99781e-19           1.093e-09             4.26969e-11           7.61547e-15           0.238889              
62     2.99408e-11     1.66389e-19           1.00342e-10           8.435e-12             3.24375e-15           0.249561              
63     1.55385e-11     1.60015e-19           5.11722e-11           5.27964e-12           3.0593e-15            0.253841              
64     2.72056e-10     1.5939e-19            9.53652e-10           3.47399e-11           6.21218e-15           0.238236              
65     4.7402e-13      9.57386e-20           1.43593e-12           2.86053e-13           3.4894e-16            0.273309              
66     4.22681e-15     1.53548e-19           6.24702e-15           9.00914e-15           1.17344e-16           0.391119              
67     2.95261e-12     1.5549e-19            8.64115e-12           2.08473e-12           2.55797e-15           0.280867              
68     2.23e-11        1.51081e-19           7.46461e-11           6.37134e-12           2.7594e-15            0.249857              
69     4.81691e-15     1.05186e-19           8.01212e-15           9.41492e-15           8.76338e-17           0.376134              
70     6.65275e-14     1.52317e-19           1.5132e-13            9.0094e-14            3.77226e-16           0.329449              
71     1.98467e-15     1.81158e-19           1.64989e-15           5.42828e-15           1.50594e-16           0.445486              
72     2.27664e-16     1.46787e-19           8.53355e-17           6.93316e-16           5.42002e-17           0.502333              
73     3.1295e-10      2.13783e-19           1.09146e-09           4.5507e-11            1.01806e-14           0.239539              
74     2.83001e-10     1.77911e-19           9.91554e-10           3.66033e-11           6.53226e-15           0.238357              
75     8.11761e-09     2.33878e-19           2.90258e-08           4.65574e-10           3.19995e-14           0.233069              
76     6.11204e-13     1.55373e-19           1.75794e-12           4.62063e-13           8.92356e-16           0.284656              
77     3.71745e-10     1.68541e-19           1.30185e-09           4.87152e-11           8.9315e-15            0.238483              
78     6.61285e-07     2.16501e-19           2.38946e-06           1.29802e-08           1.75794e-13           0.230299              
79     9.67913e-09     2.25593e-19           3.45314e-08           6.33027e-10           4.71156e-14           0.23366               
80     7.57301e-13     1.57008e-19           2.1764e-12            5.74296e-13           1.0564e-15            0.284815              
81     1.60836e-11     1.5438e-19            5.32153e-11           5.21716e-12           2.58867e-15           0.252703              
82     1.51178e-11     2.30554e-19           4.85838e-11           6.33891e-12           4.8442e-15            0.259704              
83     2.04765e-12     1.33737e-19           6.16072e-12           1.27795e-12           1.39645e-15           0.274813              
84     2.68746e-10     2.06591e-19           9.40202e-10           3.61645e-11           6.52006e-15           0.238741              
85     2.89275e-11     1.57584e-19           9.66913e-11           8.40402e-12           3.73458e-15           0.250211              
86     3.03899e-10     1.43779e-19           1.06542e-09           3.86666e-11           5.48928e-15           0.238202              
87     6.40369e-13     1.35284e-19           1.91543e-12           4.10798e-13           5.4393e-16            0.276125              
88     1.59492e-11     1.51078e-19           5.3034e-11            4.91053e-12           2.28157e-15           0.251488              
89     4.18852e-13     7.61659e-20           1.2585e-12            2.63064e-13           3.27141e-16           0.275124              
90     3.29513e-11     1.53523e-19           1.10916e-10           8.79854e-12           3.20428e-15           0.248479              
91     1.26463e-11     1.90415e-19           4.18287e-11           4.11569e-12           2.24063e-15           0.252785              
92     9.92213e-09     2.31005e-19           3.54613e-08           5.85941e-10           3.79927e-14           0.233194              
93     2.03551e-12     1.79418e-19           6.08501e-12           1.30937e-12           1.62898e-15           0.276244              
94     1.3384e-08      2.17952e-19           4.78876e-08           7.36863e-10           4.04071e-14           0.2329                
95     6.45216e-15     1.67621e-19           9.73467e-15           1.3559e-14            1.73121e-16           0.38872               
96     2.0263e-07      1.6025e-19            7.31842e-07           4.31395e-09           7.26062e-14           0.230421              
97     3.18137e-10     1.61458e-19           1.11486e-09           4.09461e-11           6.31849e-15           0.23831               
98     3.87557e-13     1.34038e-19           1.1664e-12            2.41427e-13           3.59861e-16           0.274779              
99     1.16957e-11     1.43273e-19           3.86427e-11           3.84827e-12           1.92157e-15           0.253045              
100    7.90721e-13     1.9106e-19            2.27281e-12           5.99349e-13           1.01903e-15           0.284766              
101    1.22074e-12     1.20664e-19           3.6707e-12            7.63935e-13           8.77028e-16           0.274945              
102    1.04479e-11     2.16609e-19           3.45365e-11           3.4209e-12            2.0176e-15            0.252933              
103    5.63446e-13     1.22425e-19           1.64806e-12           3.98668e-13           5.84126e-16           0.281012              
104    1.06795e-09     2.31906e-19           3.72755e-09           1.52376e-10           2.59704e-14           0.239337              
105    1.72882e-07     1.7704e-19            6.2443e-07            3.65032e-09           6.46434e-14           0.230408              
106    1.51363e-11     1.73631e-19           5.00706e-11           4.91999e-12           2.75298e-15           0.252756              
107    1.57042e-13     1.65961e-19           3.58647e-13           2.1133e-13            7.69821e-16           0.328661              
108    5.74687e-13     1.35795e-19           1.68746e-12           4.00082e-13           6.19788e-16           0.280186              
109    1.07442e-10     2.18912e-19           3.60796e-10           2.95478e-11           1.05453e-14           0.249066              
110    7.55335e-15     1.20004e-19           1.25033e-14           1.48326e-14           1.27883e-16           0.37654               
111    2.64881e-10     2.34623e-19           9.24332e-10           3.79955e-11           8.21619e-15           0.239394              
112    9.67167e-10     1.58057e-19           3.40195e-09           1.11816e-10           1.23396e-14           0.237347              
113    1.16239e-11     1.70808e-19           3.7774e-11            4.45537e-12           3.3724e-15            0.257054              
114    1.03813e-16     1.02155e-19           6.84476e-17           2.94276e-16           1.61567e-17           0.469854              
115    7.49762e-09     1.40743e-19           2.68756e-08           3.63387e-10           1.55763e-14           0.232416              
116    1.52556e-11     2.35551e-19           5.05427e-11           4.88127e-12           3.0335e-15            0.252387              
117    2.98291e-10     2.45693e-19           1.03998e-09           4.37236e-11           9.69976e-15           0.239625              
118    7.81966e-10     1.91792e-19           2.74876e-09           9.21556e-11           1.19192e-14           0.237512              
119    4.59586e-13     1.03908e-19           1.39572e-12           2.73835e-13           3.35624e-16           0.272747              
120    1.40963e-11     1.65431e-19           4.62798e-11           4.9321e-12            3.15247e-15           0.254588              
121    5.80749e-13     1.56516e-19           1.68644e-12           4.23032e-13           7.33379e-16           0.282591              
122    5.98358e-17     8.94332e-20           2.46474e-17           1.81663e-16           1.23579e-17           0.495492              
123    1.8861e-07      1.78251e-19           6.80807e-07           4.41264e-09           8.24967e-14           0.230576              
124    1.25096e-11     9.38505e-20           4.17635e-11           3.68473e-12           1.41491e-15           0.250503              
125    3.00087e-11     1.80903e-19           9.80083e-11           1.10146e-11           6.19679e-15           0.255844              
126    2.75999e-10     1.75666e-19           9.6826e-10            3.4457e-11            5.76464e-15           0.238027              
127    4.32909e-11     1.95212e-19           1.43635e-10           1.36442e-11           5.80746e-15           0.252022              
128    8.48593e-10     1.61615e-19           2.98367e-09           9.93083e-11           1.19936e-14           0.237452              
129    6.97034e-15     1.27478e-19           1.15775e-14           1.36467e-14           1.19877e-16           0.376165              
130    9.02137e-12     1.13165e-19           3.0213e-11            2.56216e-12           1.11261e-15           0.249732              
131    1.62966e-13     1.89524e-19           3.72712e-13           2.18672e-13           9.03572e-16           0.328511              
132    1.00986e-08     1.86007e-19           3.61293e-08           5.59095e-10           2.98974e-14           0.232923              
133    9.86703e-14     1.17413e-19           2.31562e-13           1.26628e-13           4.02703e-16           0.323913              
134    7.89505e-14     1.18572e-19           1.89437e-13           9.71728e-14           3.12271e-16           0.32003               
135    1.92739e-07     1.35721e-19           6.96368e-07           3.8541e-09            5.76351e-14           0.230326              
136    1.11829e-12     1.16712e-19           3.36756e-12           6.94914e-13           8.02287e-16           0.274622              
137    6.49606e-09     1.60111e-19           2.32716e-08           3.28671e-10           1.65337e-14           0.232573              
138    3.8494e-11      1.25128e-19           1.29126e-10           1.07258e-11           3.87533e-15           0.249332              
139    7.55933e-09     1.54664e-19           2.71092e-08           3.53982e-10           1.52235e-14           0.232296              
140    2.51591e-07     1.99863e-19           9.08274e-07           5.75442e-09           1.08629e-13           0.230537              
141    4.91116e-13     1.21513e-19           1.44674e-12           3.37235e-13           5.16173e-16           0.279482              
142    2.17058e-10     1.36476e-19           7.62565e-10           2.6017e-11            4.00899e-15           0.237661              
143    1.14113e-11     1.43144e-19           3.80468e-11           3.41109e-12           1.60991e-15           0.25083               
144    8.47948e-16     1.69504e-19           7.07936e-16           2.31342e-15           6.73563e-17           0.445778              
145    2.03715e-12     1.96685e-19           6.08793e-12           1.31226e-12           1.80199e-15           0.276327              
146    8.5946e-09      2.53655e-19           3.06837e-08           5.40684e-10           3.7424e-14            0.233477              
147    2.81934e-10     1.58565e-19           9.86838e-10           3.74417e-11           6.78376e-15           0.238612              
148    3.32964e-15     9.64542e-20           5.6792e-15            6.375e-15             5.16418e-17           0.372647              
149    6.05538e-17     1.12217e-19           1.18464e-17           1.87132e-16           2.33842e-17           0.537093              
150    4.84782e-16     1.04772e-19           3.89529e-16           1.33629e-15           4.02067e-17           0.448587              
151    3.14298e-11     1.37784e-19           1.04925e-10           9.26234e-12           3.33028e-15           0.250513              
152    1.202e-12       1.50837e-19           3.64103e-12           7.25594e-13           7.95059e-16           0.273307              
153    8.66048e-09     2.16353e-19           3.09517e-08           5.11934e-10           3.38361e-14           0.233198              
154    2.70932e-12     1.92837e-19           7.93121e-12           1.91069e-12           2.55524e-15           0.280822              
155    9.65233e-13     1.43973e-19           2.92142e-12           5.85037e-13           6.7234e-16            0.273495              
156    2.35674e-18     8.3233e-20            1.13955e-19           5.53644e-18           3.16993e-18           0.698904              
157    1.21593e-11     1.55072e-19           4.02546e-11           3.92055e-12           2.1441e-15            0.252563              
158    4.06997e-14     1.37707e-19           9.62734e-14           5.14258e-14           2.18003e-16           0.322726              
159    1.92753e-11     1.42251e-19           6.46353e-11           5.39322e-12           2.07791e-15           0.249419              
160    1.93914e-07     2.35396e-19           6.999e-07             4.59121e-09           9.81604e-14           0.230596              
161    2.04914e-15     1.71126e-19           2.6088e-15            4.73965e-15           1.10031e-16           0.409875              
162    1.56811e-13     1.56037e-19           3.55127e-13           2.13991e-13           7.94785e-16           0.330087              
163    8.39539e-14     1.561e-19             1.93338e-13           1.11364e-13           4.16221e-16           0.327263              
164    1.22303e-11     2.33748e-19           4.01576e-11           4.27518e-12           2.72422e-15           0.254564              
165    3.04395e-15     1.00707e-19           5.12954e-15           5.88253e-15           5.59856e-17           0.374564              
166    6.20209e-14     1.17147e-19           1.51027e-13           7.41469e-14           2.18525e-16           0.31735               
167    1.1704e-11      1.69452e-19           3.91332e-11           3.38779e-12           1.68586e-15           0.250136              
168    1.88428e-12     1.24164e-19           5.73229e-12           1.11304e-12           1.08368e-15           0.272338              
169    1.64029e-15     1.71152e-19           1.24093e-15           4.59818e-15           1.36588e-16           0.452037              
170    2.83494e-10     1.65654e-19           9.94605e-10           3.53433e-11           5.59264e-15           0.238014              
171    0.000156217     3.99383e-19           0.000566892           6.4293e-07            1.67506e-12           0.22916               
172    1.13492e-13     1.39782e-19           2.71765e-13           1.4023e-13            4.57616e-16           0.320398              
173    3.55014e-17     1.02437e-19           1.51418e-17           1.06211e-16           8.46165e-18           0.499552              
174    4.44041e-10     1.32295e-19           1.5618e-09            5.14174e-11           6.24104e-15           0.237361              
175    4.98732e-16     1.0861e-19            4.30284e-16           1.35134e-15           3.45189e-17           0.442284              
176    2.78067e-11     2.20568e-19           9.20231e-11           8.99964e-12           4.88436e-15           0.252652              
177    5.24413e-13     1.38873e-19           1.51502e-12           3.89813e-13           6.79079e-16           0.283692              
178    2.91806e-10     2.03138e-19           1.01494e-09           4.52102e-11           1.04507e-14           0.240238              
179    2.89011e-11     1.49268e-19           9.6766e-11            8.23345e-12           3.59327e-15           0.249796              
180    7.62997e-09     1.53534e-19           2.73222e-08           3.9756e-10            2.10645e-14           0.232684              
181    2.02205e-11     1.74903e-19           6.54914e-11           7.97045e-12           4.71637e-15           0.257841              
182    3.55113e-12     1.33911e-19           1.07652e-11           2.13583e-12           1.75321e-15           0.27311               
183    2.99768e-14     9.75757e-20           6.97239e-14           3.90594e-14           1.64088e-16           0.325646              
184    1.25542e-12     9.09388e-20           3.8641e-12            6.96753e-13           5.77459e-16           0.269694              
185    7.18418e-13     1.57036e-19           2.08433e-12           5.25204e-13           9.00373e-16           0.282783              
186    1.60854e-16     1.14971e-19           1.09396e-16           4.55489e-16           2.18953e-17           0.465436              
187    3.19624e-14     1.48225e-19           7.05717e-14           4.53772e-14           2.22394e-16           0.334524              
188    7.63335e-10     2.17058e-19           2.65838e-09           1.14863e-10           2.11682e-14           0.23991               
189    2.85365e-12     1.42389e-19           8.70362e-12           1.66338e-12           1.50918e-15           0.271756              
190    4.25012e-14     1.35828e-19           9.59385e-14           5.82526e-14           2.82148e-16           0.330853              
191    9.65544e-12     1.96257e-19           3.17525e-11           3.32594e-12           1.99827e-15           0.254187              
192    1.0587e-12      1.29382e-19           3.21144e-12           6.34574e-13           7.01398e-16           0.272995              
193    3.41857e-10     1.79587e-19           1.19249e-09           4.94944e-11           9.76098e-15           0.239492              
194    3.46339e-10     1.56576e-19           1.21413e-09           4.41385e-11           7.14093e-15           0.238218              
195    7.95503e-09     1.82948e-19           2.8476e-08            4.24753e-10           2.62674e-14           0.232778              
196    2.60389e-07     2.09268e-19           9.40291e-07           5.7003e-09            1.04149e-13           0.230465              
197    1.0034e-11      1.54886e-19           3.31823e-11           3.27176e-12           1.80185e-15           0.25283               
198    6.66195e-14     1.32563e-19           1.59318e-13           8.25235e-14           2.68045e-16           0.320626              
199    3.21672e-10     1.51908e-19           1.12635e-09           4.2303e-11            7.10927e-15           0.238516              
200    4.46514e-13     1.48006e-19           1.32165e-12           3.003e-13             4.72535e-16           0.278447              
201    5.68151e-10     2.02867e-19           1.99075e-09           7.33739e-11           1.17779e-14           0.238342              
202    1.39077e-09     2.17664e-19           4.87987e-09           1.72848e-10           2.33966e-14           0.237985              
203    1.16582e-11     1.66053e-19           3.84502e-11           3.90447e-12           2.4095e-15            0.253485              
204    7.65129e-13     1.78972e-19           2.1248e-12            6.54001e-13           1.48602e-15           0.292006              
205    2.11648e-08     2.62824e-19           7.57427e-08           1.14923e-09           5.70448e-14           0.232845              
206    3.26552e-10     2.20695e-19           1.13445e-09           5.1926e-11            1.20622e-14           0.240538              
207    2.96484e-10     1.70375e-19           1.03693e-09           4.02093e-11           7.21102e-15           0.238819              
208    5.33281e-13     1.34174e-19           1.58071e-12           3.56367e-13           6.26688e-16           0.278156              
209    3.21274e-10     1.30422e-19           1.12808e-09           3.91279e-11           5.36133e-15           0.237802              
210    1.49453e-12     1.632e-19             4.44624e-12           9.82819e-13           1.31983e-15           0.277314              
211    1.98831e-11     1.79738e-19           6.46426e-11           7.59308e-12           4.96221e-15           0.256942              
212    9.36266e-09     2.43164e-19           3.34534e-08           5.61324e-10           3.42933e-14           0.23326               
213    4.47339e-13     1.30577e-19           1.32308e-12           3.0189e-13            4.52208e-16           0.278607              
214    3.14974e-14     1.24517e-19           6.97641e-14           4.44924e-14           2.25169e-16           0.334039              
215    5.54476e-14     9.38132e-20           1.36987e-13           6.4334e-14            1.80387e-16           0.314706              
216    1.08957e-08     2.61503e-19           3.89729e-08           6.11436e-10           3.80488e-14           0.232978              
217    8.03373e-13     1.35023e-19           2.40746e-12           5.10933e-13           6.54601e-16           0.275712              
218    3.04012e-10     1.30759e-19           1.06741e-09           3.70777e-11           5.44887e-15           0.237815              
219    1.66803e-11     2.27837e-19           5.50896e-11           5.51042e-12           3.37525e-15           0.25315               
220    7.09836e-09     2.49217e-19           2.53825e-08           4.05975e-10           2.61492e-14           0.233057              
221    3.65911e-10     2.39451e-19           1.28022e-09           4.91485e-11           8.96403e-15           0.238723              
222    1.25285e-11     1.72932e-19           4.14405e-11           4.07599e-12           2.17947e-15           0.252776              
223    1.22391e-11     2.00153e-19           4.02973e-11           4.16733e-12           2.68026e-15           0.253898              
224    4.13695e-11     1.50584e-19           1.39494e-10           1.08048e-11           3.65391e-15           0.248048              
225    1.12739e-12     1.43605e-19           3.41029e-12           6.85261e-13           7.60897e-16           0.273617              
226    2.02957e-07     2.27298e-19           7.32625e-07           4.71717e-09           9.56902e-14           0.230564              
227    2.74752e-10     1.89074e-19           9.61541e-10           3.66468e-11           6.31459e-15           0.238654              
228    7.48832e-09     1.90381e-19           2.67727e-08           4.32556e-10           2.82428e-14           0.233099              
229    2.14103e-12     1.17789e-19           6.54928e-12           1.22877e-12           1.19844e-15           0.271103              
230    4.65442e-13     1.80651e-19           1.31759e-12           3.72806e-13           8.86752e-16           0.288051              
231    7.64575e-09     1.5027e-19            2.73463e-08           4.308e-10             2.37066e-14           0.232995              
232    1.16813e-12     1.58915e-19           3.47639e-12           7.66922e-13           1.11227e-15           0.27725               
233    3.55318e-11     2.34883e-19           1.17841e-10           1.12485e-11           5.40524e-15           0.252128              
234    2.09025e-07     2.93817e-19           7.54422e-07           4.96725e-09           1.06928e-13           0.230603              
235    3.06718e-11     1.35586e-19           1.03254e-10           8.17949e-12           2.80618e-15           0.248453              
236    2.1846e-10      1.24901e-19           7.68739e-10           2.49378e-11           3.30519e-15           0.237241              
237    2.12495e-07     1.81514e-19           7.67492e-07           4.5019e-09            8.23347e-14           0.230414              
238    3.05616e-10     2.02368e-19           1.06871e-09           4.16085e-11           7.9732e-15            0.238857              
239    9.25854e-14     1.7309e-19            2.11006e-13           1.24968e-13           5.23477e-16           0.329116              
240    2.19829e-07     2.00327e-19           7.93846e-07           4.79116e-09           9.0174e-14            0.230458              
241    9.65872e-15     1.19539e-19           1.68853e-14           1.81039e-14           1.25161e-16           0.369152              
242    3.21762e-11     2.43005e-19           1.06543e-10           1.03548e-11           5.32987e-15           0.252516              
243    4.15259e-13     1.03356e-19           1.2543e-12            2.54212e-13           3.20406e-16           0.273956              
244    4.92182e-15     1.15698e-19           7.61314e-15           1.01822e-14           1.02498e-16           0.385068              
245    1.07498e-12     1.71928e-19           3.17798e-12           7.26904e-13           1.11135e-15           0.27871               
246    2.8262e-12      1.86587e-19           8.33524e-12           1.93132e-12           2.50118e-15           0.279205              
247    6.34547e-13     1.93472e-19           1.76224e-12           5.42255e-13           1.28841e-15           0.29201               
248    9.60431e-16     1.56234e-19           7.722e-16             2.64309e-15           8.3953e-17            0.449164              
249    1.1182e-11      1.30306e-19           3.71074e-11           3.51742e-12           1.63251e-15           0.251979              
250    2.10704e-12     1.47958e-19           6.3613e-12            1.29313e-12           1.42096e-15           0.274049              
251    6.45897e-11     2.06946e-19           2.16291e-10           1.83682e-11           7.09884e-15           0.249756              
252    1.93934e-07     1.96158e-19           7.00416e-07           4.14588e-09           7.29572e-14           0.230428              
253    7.23632e-09     1.48138e-19           2.59468e-08           3.42812e-10           1.58495e-14           0.232336              
254    2.22373e-10     1.31975e-19           7.82991e-10           2.49001e-11           3.40549e-15           0.237081              
255    5.9409e-10      1.73915e-19           2.08039e-09           7.79703e-11           1.32094e-14           0.238497              
256    2.83625e-10     1.93445e-19           9.90785e-10           3.96388e-11           7.45198e-15           0.239123              
257    4.28866e-13     9.87995e-20           1.2599e-12            2.97979e-13           4.24101e-16           0.280067              
258    4.50027e-14     1.01784e-19           1.07513e-13           5.58574e-14           1.7818e-16            0.320795              
259    1.37649e-11     2.13439e-19           4.54656e-11           4.5424e-12            2.90734e-15           0.253126              
260    3.83637e-10     2.11446e-19           1.34305e-09           5.07223e-11           8.70487e-15           0.238568              
261    1.86146e-15     1.47694e-19           2.52103e-15           4.18096e-15           7.03738e-17           0.401648              
262    3.45783e-12     1.44753e-19           1.06122e-11           1.94981e-12           1.68331e-15           0.270352              
263    3.75297e-16     6.55324e-20           3.50695e-16           9.95334e-16           2.0032e-17            0.434746              
264    2.05522e-15     1.51406e-19           2.88815e-15           4.51169e-15           7.73203e-17           0.397876              
265    1.73842e-12     1.90884e-19           5.13532e-12           1.17958e-12           1.699e-15             0.27887               
266    2.04228e-07     1.51569e-19           7.37615e-07           4.34317e-09           7.75412e-14           0.230419              
267    9.81508e-14     1.28411e-19           2.28437e-13           1.27776e-13           5.01598e-16           0.325485              
268    5.16945e-13     1.232e-19             1.51026e-12           3.67489e-13           6.12787e-16           0.281288              
269    1.1706e-12      1.26935e-19           3.59717e-12           6.5546e-13            6.40647e-16           0.270074              
270    7.25676e-16     1.01884e-19           6.76079e-16           1.92484e-15           4.07088e-17           0.435323              
271    3.64848e-10     1.85901e-19           1.27812e-09           4.73875e-11           7.6792e-15            0.238397              
272    1.54792e-07     1.39291e-19           5.58989e-07           3.36908e-09           6.18661e-14           0.230456              
273    3.32179e-11     1.29281e-19           1.11806e-10           8.87739e-12           3.07445e-15           0.248495              
274    6.34714e-11     2.53898e-19           2.12322e-10           1.82743e-11           7.33068e-15           0.250017              
275    7.14958e-13     2.16528e-19           1.96235e-12           6.34041e-13           1.62595e-15           0.294429              
276    5.69966e-18     8.21156e-20           9.71259e-19           1.66013e-17           3.42623e-18           0.574995              
277    3.65724e-10     1.79744e-19           1.27895e-09           4.97447e-11           8.6878e-15            0.238848              
278    1.54891e-11     1.71865e-19           5.11074e-11           5.16499e-12           2.99481e-15           0.253376              
279    7.6956e-14      1.83704e-19           1.81983e-13           9.73058e-14           3.95365e-16           0.322746              
280    5.92943e-15     1.01231e-19           9.40302e-15           1.20394e-14           1.18966e-16           0.382092              
281    3.80115e-11     1.92057e-19           1.26641e-10           1.14576e-11           5.28479e-15           0.251013              
282    2.67882e-11     1.73545e-19           8.90527e-11           8.27008e-12           4.03986e-15           0.251551              
283    6.2799e-13      1.30249e-19           1.87168e-12           4.09525e-13           6.04616e-16           0.276928              
