Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1728)   P(D|M,rr[2]=0.3657)   P(D|M,rr[3]=0.5439)   P(D|M,rr[4]=0.7331)   P(D|M,rr[5]=0.9506)   P(D|M,rr[6]=1.2228)   P(D|M,rr[7]=1.6122)   P(D|M,rr[8]=2.3989)   Posterior mean        
33     3.13695e-12     8.22864e-12           1.25298e-11           3.69364e-12           5.84607e-13           5.58417e-14           3.01627e-15           7.68827e-17           7.45738e-19           0.338636              
34     3.38164e-07     2.54966e-06           1.48508e-07           6.88868e-09           2.47588e-10           5.99006e-12           8.00745e-14           4.58084e-16           1.07501e-18           0.1844                
35     7.13963e-09     4.9921e-08            6.66712e-09           5.0099e-10            2.69643e-11           9.7632e-13            2.07706e-14           2.1525e-16            9.75192e-19           0.19886               
36     7.32124e-12     3.31942e-11           2.11936e-11           3.7592e-12            3.95429e-13           2.63282e-14           1.04896e-15           2.36522e-17           3.90895e-19           0.27057               
37     1.0682e-12      2.78266e-12           4.26991e-12           1.26781e-12           2.03746e-13           2.024e-14             1.20706e-15           3.90385e-17           6.32446e-19           0.339588              
38     1.09601e-12     2.99191e-12           4.34581e-12           1.22583e-12           1.86228e-13           1.7294e-14            9.49084e-16           2.82135e-17           4.5087e-19            0.333836              
39     3.9253e-13      9.16363e-13           1.58529e-12           5.2974e-13            9.68867e-14           1.11416e-14           7.86324e-16           3.13205e-17           6.86873e-19           0.3531                
40     5.57981e-14     6.68705e-14           2.35985e-13           1.12856e-13           2.6587e-14            3.75197e-15           3.18675e-16           1.54192e-17           4.46586e-19           0.409302              
41     5.6806e-13      1.35925e-12           2.29329e-12           7.445e-13             1.31764e-13           1.46386e-14           1.00058e-15           3.82716e-17           7.12195e-19           0.349925              
42     1.95771e-10     1.16372e-09           3.55915e-10           4.29597e-11           3.38969e-12           1.75072e-13           5.33184e-15           8.12267e-17           5.79174e-19           0.228124              
43     3.48231e-10     2.01136e-09           6.76813e-10           8.94641e-11           7.76146e-12           4.42523e-13           1.4772e-14            2.33619e-16           1.37181e-18           0.233276              
44     1.27825e-05     9.95164e-05           2.66103e-06           8.01816e-08           2.04438e-09           3.5838e-11            3.39277e-13           1.26915e-15           1.70653e-18           0.178137              
45     7.1767e-09      4.98599e-08           6.97545e-09           5.46451e-10           3.06351e-11           1.15236e-12           2.51512e-14           2.56851e-16           1.06903e-18           0.200093              
46     5.91584e-15     2.18797e-15           1.99689e-14           1.70275e-14           6.49869e-15           1.43993e-15           1.89659e-16           1.36415e-17           4.7741e-19            0.492952              
47     3.37629e-13     8.7277e-13            1.35098e-12           4.04647e-13           6.56321e-14           6.58398e-15           3.99008e-16           1.39284e-17           3.43968e-19           0.340544              
48     2.80272e-14     2.93578e-14           1.14441e-13           6.10282e-14           1.63823e-14           2.71277e-15           2.78647e-16           1.63074e-17           4.90768e-19           0.424017              
49     1.52466e-11     6.71766e-11           4.53814e-11           8.4272e-12            9.22132e-13           6.31997e-14           2.52358e-15           5.28146e-17           6.76367e-19           0.274869              
50     3.28784e-07     2.47042e-06           1.52104e-07           7.45557e-09           2.85565e-10           7.48713e-12           1.11624e-13           7.37151e-16           1.86344e-18           0.185083              
51     1.70763e-11     7.62298e-11           5.01368e-11           9.17402e-12           9.98509e-13           6.87305e-14           2.76927e-15           5.61932e-17           5.48918e-19           0.273023              
52     2.00029e-10     1.16403e-09           3.82157e-10           4.95459e-11           4.2468e-12            2.43176e-13           8.47145e-15           1.52849e-16           1.21548e-18           0.231972              
53     8.70091e-09     6.04985e-08           8.41894e-09           6.52491e-10           3.59601e-11           1.31811e-12           2.77364e-14           2.75748e-16           1.34051e-18           0.199924              
54     2.12021e-11     9.09014e-11           6.45268e-11           1.26121e-11           1.46396e-12           1.07556e-13           4.61911e-15           9.77125e-17           8.58051e-19           0.279134              
55     5.8531e-10      3.46878e-09           1.07385e-09           1.29339e-10           1.00037e-11           4.91968e-13           1.356e-14             1.72925e-16           1.01107e-18           0.228576              
56     1.03161e-11     4.26601e-11           3.22362e-11           6.72366e-12           8.38633e-13           6.68451e-14           3.16569e-15           7.75602e-17           9.34364e-19           0.284744              
57     5.37096e-10     3.20237e-09           9.69902e-10           1.15177e-10           8.86078e-12           4.39953e-13           1.25577e-14           1.69444e-16           9.22358e-19           0.227534              
58     1.46948e-11     6.42967e-11           4.39383e-11           8.31753e-12           9.36511e-13           6.68045e-14           2.79732e-15           5.88145e-17           5.53943e-19           0.276083              
59     2.16469e-12     5.67403e-12           8.64754e-12           2.54975e-12           4.048e-13             3.91446e-14           2.19116e-15           6.11141e-17           7.1621e-19            0.338749              
60     2.93964e-15     1.3192e-15            1.0636e-14            8.13646e-15           2.79324e-15           5.58872e-16           6.80838e-17           5.01726e-18           2.47884e-19           0.476834              
61     2.43481e-10     1.43221e-09           4.54394e-10           5.6445e-11            4.5562e-12            2.38703e-13           7.2839e-15            1.11035e-16           8.61652e-19           0.229968              
62     1.98284e-11     8.7593e-11            5.88871e-11           1.08802e-11           1.18326e-12           8.04435e-14           3.17296e-15           6.4188e-17            6.6995e-19            0.274457              
63     1.02472e-11     4.22785e-11           3.21244e-11           6.68083e-12           8.258e-13             6.47899e-14           2.98137e-15           6.79909e-17           6.74208e-19           0.28493               
64     2.08818e-10     1.24733e-09           3.74739e-10           4.47646e-11           3.52071e-12           1.83265e-13           5.73768e-15           9.2937e-17            7.13974e-19           0.227291              
65     3.22042e-13     8.60223e-13           1.27848e-12           3.72182e-13           5.91898e-14           5.88799e-15           3.59845e-16           1.2775e-17            2.87885e-19           0.33693               
66     3.44916e-15     1.35798e-15           1.18675e-14           9.78334e-15           3.65193e-15           8.10374e-16           1.12402e-16           9.37357e-18           4.26729e-19           0.489133              
67     1.93661e-12     4.62512e-12           7.86584e-12           2.52578e-12           4.29935e-13           4.36525e-14           2.46858e-15           6.45984e-17           6.5934e-19            0.349141              
68     1.45047e-11     6.41387e-11           4.29576e-11           7.99137e-12           8.85209e-13           6.22997e-14           2.60386e-15           5.70379e-17           6.15832e-19           0.274484              
69     4.0326e-15      1.95706e-15           1.49048e-14           1.09352e-14           3.64786e-15           7.21074e-16           8.82031e-17           6.41757e-18           2.75806e-19           0.47162               
70     4.54264e-14     4.87514e-14           1.88287e-13           9.74372e-14           2.47981e-14           3.77657e-15           3.4346e-16            1.73456e-17           4.76046e-19           0.419613              
71     1.63316e-15     2.15237e-16           4.09701e-15           5.16859e-15           2.66437e-15           7.73436e-16           1.33392e-16           1.2728e-17            5.49048e-19           0.552618              
72     2.08321e-16     6.98727e-18           3.06179e-16           6.24989e-16           4.75514e-16           1.97484e-16           4.84306e-17           6.57848e-18           4.0112e-19            0.636185              
73     2.42731e-10     1.41412e-09           4.62657e-10           5.96965e-11           5.07733e-12           2.86247e-13           9.61112e-15           1.58019e-16           1.04476e-18           0.231757              
74     2.15124e-10     1.2807e-09            3.89522e-10           4.68782e-11           3.7012e-12            1.92659e-13           6.00883e-15           9.7191e-17            7.75261e-19           0.227869              
75     8.31764e-09     5.78513e-08           8.02642e-09           6.26872e-10           3.52227e-11           1.33695e-12           2.96912e-14           3.1038e-16            1.28767e-18           0.199887              
76     3.88585e-13     8.87059e-13           1.57356e-12           5.35804e-13           9.97154e-14           1.16749e-14           8.36124e-16           3.24601e-17           5.77199e-19           0.355587              
77     2.94497e-10     1.75223e-09           5.33628e-10           6.46707e-11           5.16193e-12           2.71707e-13           8.45989e-15           1.2895e-16            8.18384e-19           0.228005              
78     1.04261e-06     7.88981e-06           4.31631e-07           1.87928e-08           6.27694e-10           1.38514e-11           1.63423e-13           7.77e-16              1.39148e-18           0.183675              
79     9.76126e-09     6.69638e-08           1.02157e-08           8.57511e-10           5.09916e-11           2.00533e-12           4.42854e-14           4.20115e-16           1.34524e-18           0.202506              
80     4.76949e-13     1.08057e-12           1.93685e-12           6.60764e-13           1.22279e-13           1.41008e-14           9.82189e-16           3.66007e-17           6.09019e-19           0.35609               
81     1.05725e-11     4.43221e-11           3.28231e-11           6.59551e-12           7.78922e-13           5.76433e-14           2.482e-15             5.4453e-17            6.02327e-19           0.282317              
82     9.15463e-12     3.39919e-11           3.08047e-11           7.33068e-12           1.01701e-12           8.82637e-14           4.42694e-15           1.07706e-16           1.03904e-18           0.299861              
83     1.33958e-12     3.49993e-12           5.3509e-12            1.58643e-12           2.53343e-13           2.45885e-14           1.37445e-15           3.84333e-17           5.05578e-19           0.339214              
84     2.06231e-10     1.21692e-09           3.81815e-10           4.71153e-11           3.79371e-12           1.99465e-13           6.17097e-15           9.7429e-17            8.4211e-19            0.229431              
85     2.00935e-11     8.8281e-11            5.98341e-11           1.12717e-11           1.2672e-12            9.04713e-14           3.77395e-15           7.6794e-17            6.71256e-19           0.275501              
86     2.60552e-10     1.54822e-09           4.74907e-10           5.67154e-11           4.35117e-12           2.12608e-13           5.86432e-15           7.73103e-17           5.64482e-19           0.228104              
87     4.19623e-13     1.08074e-12           1.67606e-12           5.0731e-13            8.37234e-14           8.59449e-15           5.3385e-16            1.87508e-17           4.1295e-19            0.341323              
88     1.1048e-11      4.73645e-11           3.36528e-11           6.55518e-12           7.54363e-13           5.45744e-14           2.298e-15             4.92179e-17           5.62192e-19           0.27906               
89     3.05616e-13     7.93331e-13           1.22032e-12           3.65465e-13           5.94502e-14           5.98694e-15           3.61904e-16           1.19967e-17           2.34506e-19           0.340236              
90     2.1368e-11      9.66797e-11           6.19928e-11           1.10293e-11           1.16227e-12           7.71766e-14           3.00498e-15           6.01818e-17           6.08189e-19           0.270876              
91     8.33216e-12     3.49433e-11           2.58201e-11           5.21808e-12           6.25831e-13           4.77012e-14           2.16294e-15           5.21721e-17           6.99523e-19           0.282421              
92     1.00266e-08     6.94765e-08           9.90432e-09           7.86051e-10           4.43553e-11           1.66004e-12           3.52651e-14           3.38667e-16           1.29273e-18           0.200591              
93     1.27975e-12     3.28972e-12           5.12281e-12           1.5459e-12            2.52572e-13           2.54075e-14           1.51383e-15           4.75126e-17           6.98004e-19           0.341264              
94     1.4007e-08      9.76362e-08           1.33463e-08           1.01698e-09           5.48542e-11           1.94448e-12           3.84891e-14           3.36339e-16           1.20473e-18           0.199441              
95     5.07814e-15     2.09578e-15           1.76125e-14           1.42669e-14           5.29952e-15           1.17597e-15           1.61182e-16           1.2677e-17            4.96076e-19           0.486998              
96     3.22876e-07     2.43501e-06           1.41239e-07           6.51469e-09           2.3221e-10            5.54513e-12           7.2519e-14            4.00262e-16           9.39867e-19           0.184349              
97     2.5087e-10      1.4882e-09            4.59001e-10           5.52433e-11           4.2943e-12            2.14871e-13           6.19603e-15           8.85677e-17           6.77547e-19           0.228422              
98     2.4531e-13      6.50574e-13           9.71109e-13           2.87956e-13           4.747e-14             5.01781e-15           3.38017e-16           1.40011e-17           3.8769e-19            0.338431              
99     8.049e-12       3.34533e-11           2.51564e-11           5.12235e-12           6.12197e-13           4.57051e-14           1.96951e-15           4.28942e-17           5.19403e-19           0.283591              
100    5.15221e-13     1.16516e-12           2.09819e-12           7.12812e-13           1.30011e-13           1.45805e-14           9.75077e-16           3.5401e-17            6.6952e-19            0.35585               
101    7.67746e-13     1.98686e-12           3.07177e-12           9.1921e-13            1.48522e-13           1.47128e-14           8.5877e-16            2.64997e-17           4.25585e-19           0.340371              
102    7.15061e-12     3.00739e-11           2.20902e-11           4.45934e-12           5.37695e-13           4.16814e-14           1.96653e-15           5.1431e-17            7.68101e-19           0.282087              
103    3.56098e-13     8.45431e-13           1.44375e-12           4.68532e-13           8.17422e-14           8.75526e-15           5.57133e-16           1.93876e-17           3.94187e-19           0.350269              
104    7.76156e-10     4.51111e-09           1.49145e-09           1.90265e-10           1.5585e-11            8.13484e-13           2.37275e-14           3.04936e-16           1.33184e-18           0.232022              
105    2.67939e-07     2.0229e-06            1.1517e-07            5.25378e-09           1.86555e-10           4.48916e-12           6.05032e-14           3.61276e-16           9.83307e-19           0.184138              
106    9.70196e-12     4.07699e-11           2.99803e-11           6.07187e-12           7.34142e-13           5.67542e-14           2.61676e-15           6.23787e-17           7.01841e-19           0.282244              
107    1.04782e-13     1.11628e-13           4.36499e-13           2.24961e-13           5.61929e-14           8.24189e-15           6.994e-16             3.06722e-17           6.04199e-19           0.418968              
108    3.66074e-13     8.85781e-13           1.47398e-12           4.754e-13             8.36467e-14           9.16197e-15           6.02373e-16           2.14953e-17           4.36596e-19           0.348784              
109    6.74463e-11     3.01844e-10           1.97801e-10           3.58348e-11           3.82654e-12           2.54331e-13           9.58487e-15           1.68494e-16           1.10585e-18           0.272519              
110    6.11422e-15     2.92323e-15           2.25673e-14           1.66647e-14           5.54515e-15           1.07775e-15           1.26712e-16           8.5783e-18            3.28885e-19           0.471868              
111    2.09343e-10     1.2195e-09            3.99438e-10           5.12438e-11           4.31183e-12           2.40093e-13           8.03089e-15           1.36503e-16           1.04862e-18           0.231727              
112    7.92722e-10     4.79151e-09           1.38309e-09           1.55509e-10           1.11465e-11           5.01343e-13           1.23743e-14           1.37023e-16           7.19e-19              0.225024              
113    7.07554e-12     2.77426e-11           2.2927e-11            5.17365e-12           6.97704e-13           6.02439e-14           3.07941e-15           7.7882e-17            7.75078e-19           0.29264               
114    1.01758e-16     9.5139e-18            2.10989e-16           3.11898e-16           1.93085e-16           7.00069e-17           1.60516e-17           2.30429e-18           2.14135e-19           0.590132              
115    8.65891e-09     6.10201e-08           7.68172e-09           5.41656e-10           2.69169e-11           8.72726e-13           1.57649e-14           1.31003e-16           6.07436e-19           0.197331              
116    9.73692e-12     4.14679e-11           2.97032e-11           5.94338e-12           7.20797e-13           5.71359e-14           2.79109e-15           7.33663e-17           9.18363e-19           0.280463              
117    2.32821e-10     1.35323e-09           4.46217e-10           5.79019e-11           4.93667e-12           2.77724e-13           9.27748e-15           1.54083e-16           1.12883e-18           0.23216               
118    6.05154e-10     3.65322e-09           1.05845e-09           1.20319e-10           8.81731e-12           4.13957e-13           1.11307e-14           1.46082e-16           9.0567e-19            0.225292              
119    3.10127e-13     8.41735e-13           1.22657e-12           3.5162e-13            5.52691e-14           5.46754e-15           3.36549e-16           1.23805e-17           3.0374e-19            0.335098              
120    8.87816e-12     3.63236e-11           2.79581e-11           5.92761e-12           7.52027e-13           6.10006e-14           2.9232e-15            6.97386e-17           7.05782e-19           0.286346              
121    3.78679e-13     8.89425e-13           1.53056e-12           5.06931e-13           9.14654e-14           1.03153e-14           7.08566e-16           2.70126e-17           5.37316e-19           0.352172              
122    6.25585e-17     2.43679e-18           1.00604e-16           1.92729e-16           1.3692e-16            5.3192e-17            1.25554e-17           1.84736e-18           1.82242e-19           0.622919              
123    2.89191e-07     2.1734e-06            1.3345e-07            6.43538e-09           2.38298e-10           5.8745e-12            7.85581e-14           4.36421e-16           1.0216e-18            0.185032              
124    8.83674e-12     3.81551e-11           2.68208e-11           5.11036e-12           5.67248e-13           3.88258e-14           1.50726e-15           2.91383e-17           3.27137e-19           0.277755              
125    1.82212e-11     7.22054e-11           5.89947e-11           1.28155e-11           1.62161e-12           1.27061e-13           5.60522e-15           1.13138e-16           8.4944e-19            0.290443              
126    2.12339e-10     1.27287e-09           3.77783e-10           4.44489e-11           3.42797e-12           1.74076e-13           5.30881e-15           8.58918e-17           7.40446e-19           0.226629              
127    2.72103e-11     1.14741e-10           8.42158e-11           1.6664e-11            1.91956e-12           1.36289e-13           5.44906e-15           1.03281e-16           8.5328e-19            0.281288              
128    6.9044e-10      4.16548e-09           1.20998e-09           1.37548e-10           1.0033e-11            4.64153e-13           1.20215e-14           1.44406e-16           7.77496e-19           0.225389              
129    5.76684e-15     2.79043e-15           2.13392e-14           1.56665e-14           5.1987e-15            1.01145e-15           1.19775e-16           8.29869e-18           3.40735e-19           0.471228              
130    6.16716e-12     2.73364e-11           1.82192e-11           3.38036e-12           3.73892e-13           2.63067e-14           1.10539e-15           2.53567e-17           3.70958e-19           0.274143              
131    1.10503e-13     1.20914e-13           4.58725e-13           2.35036e-13           5.948e-14             9.02038e-15           8.09239e-16           3.78744e-17           7.31363e-19           0.418212              
132    1.04026e-08     7.24297e-08           9.98781e-09           7.61093e-10           4.07807e-11           1.42813e-12           2.79154e-14           2.46016e-16           9.61957e-19           0.199643              
133    7.28827e-14     8.21799e-14           3.06756e-13           1.52068e-13           3.65074e-14           5.11968e-15           4.12405e-16           1.72741e-17           3.76002e-19           0.413763              
134    5.51312e-14     6.61434e-14           2.33274e-13           1.11471e-13           2.61838e-14           3.6604e-15            3.02883e-16           1.37749e-17           3.55698e-19           0.409095              
135    3.17439e-07     2.39947e-06           1.33877e-07           5.95425e-09           2.04297e-10           4.68128e-12           5.85874e-14           3.11346e-16           7.54416e-19           0.183899              
136    7.16883e-13     1.87889e-12           2.85896e-12           8.46953e-13           1.3601e-13            1.34407e-14           7.8504e-16            2.42662e-17           3.9918e-19            0.339018              
137    7.09661e-09     4.98767e-08           6.40821e-09           4.63312e-10           2.38267e-11           8.12167e-13           1.58414e-14           1.47767e-16           7.31544e-19           0.197859              
138    2.5279e-11      1.12186e-10           7.47335e-11           1.37254e-11           1.48375e-12           9.97267e-14           3.80267e-15           6.86911e-17           5.4007e-19            0.273784              
139    8.58956e-09     6.07573e-08           7.42236e-09           5.11123e-10           2.49425e-11           8.02029e-13           1.46833e-14           1.29742e-16           6.67263e-19           0.19662               
140    3.99611e-07     3.00556e-06           1.82265e-07           8.73575e-09           3.23163e-10           8.00927e-12           1.08557e-13           6.10108e-16           1.27494e-18           0.184884              
141    3.22955e-13     7.88655e-13           1.30001e-12           4.14624e-13           7.20228e-14           7.796e-15             5.12064e-16           1.88323e-17           3.9273e-19            0.347592              
142    1.80675e-10     1.09056e-09           3.15764e-10           3.62296e-11           2.71571e-12           1.33551e-13           3.94773e-15           6.27187e-17           5.50158e-19           0.225376              
143    7.69706e-12     3.34266e-11           2.31645e-11           4.44024e-12           5.06659e-13           3.67852e-14           1.59484e-15           3.73555e-17           5.10348e-19           0.277228              
144    7.08322e-16     9.3208e-17            1.77471e-15           2.23709e-15           1.15469e-15           3.38863e-16           6.09352e-17           6.65316e-18           4.22757e-19           0.553555              
145    1.21579e-12     3.12885e-12           4.85367e-12           1.472e-12             2.44603e-13           2.54892e-14           1.61298e-15           5.44877e-17           7.94499e-19           0.341529              
146    8.72928e-09     6.00564e-08           8.99184e-09           7.41163e-10           4.31746e-11           1.65772e-12           3.57989e-14           3.45535e-16           1.36538e-18           0.201951              
147    2.07801e-10     1.2277e-09            3.83474e-10           4.72239e-11           3.80433e-12           2.01002e-13           6.29389e-15           9.96962e-17           7.27358e-19           0.229224              
148    2.84563e-15     1.44476e-15           1.07098e-14           7.63593e-15           2.45518e-15           4.61867e-16           5.34028e-17           3.88565e-18           2.19021e-19           0.466957              
149    6.21057e-17     6.85039e-19           6.01583e-17           1.70832e-16           1.61215e-16           7.83776e-17           2.18816e-17           3.42512e-18           2.70715e-19           0.68565               
150    4.43208e-16     5.44249e-17           1.08055e-15           1.40396e-15           7.41759e-16           2.20878e-16           3.96448e-17           4.18316e-18           2.5621e-19            0.557801              
151    2.17692e-11     9.39263e-11           6.61941e-11           1.25594e-11           1.37822e-12           9.22906e-14           3.44137e-15           6.11964e-17           5.46756e-19           0.277747              
152    8.29393e-13     2.21877e-12           3.30079e-12           9.52206e-13           1.48324e-13           1.4209e-14            8.13567e-16           2.58e-17              4.84616e-19           0.336336              
153    8.74196e-09     6.05504e-08           8.65527e-09           6.89343e-10           3.91096e-11           1.47663e-12           3.18096e-14           3.10801e-16           1.19664e-18           0.200671              
154    1.6992e-12      4.06656e-12           6.88476e-12           2.21764e-12           3.82252e-13           3.9898e-14            2.38228e-15           6.90658e-17           8.08269e-19           0.349261              
155    6.49504e-13     1.73203e-12           2.58423e-12           7.49704e-13           1.17903e-13           1.14739e-14           6.74521e-16           2.2465e-17            4.57907e-19           0.336848              
156    2.99313e-18     4.07862e-21           9.36404e-19           4.86671e-18           7.75095e-18           6.30028e-18           3.04115e-18           8.91725e-19           1.53759e-19           0.843061              
157    7.62528e-12     3.20608e-11           2.35665e-11           4.75726e-12           5.71794e-13           4.38341e-14           2.00668e-15           4.87204e-17           6.10298e-19           0.282105              
158    2.99097e-14     3.54669e-14           1.25411e-13           6.10173e-14           1.4911e-14            2.24651e-15           2.12476e-16           1.20216e-17           3.97828e-19           0.411754              
159    1.3618e-11      6.04071e-11           4.02846e-11           7.39602e-12           7.99977e-13           5.41518e-14           2.13371e-15           4.38728e-17           5.19836e-19           0.273843              
160    2.91403e-07     2.1892e-06            1.35156e-07           6.61413e-09           2.51496e-10           6.48346e-12           9.34383e-14           5.8339e-16            1.44215e-18           0.185112              
161    1.55417e-15     4.79602e-16           4.7643e-15            4.52948e-15           2.00617e-15           5.47031e-16           9.61265e-17           1.01127e-17           5.03123e-19           0.515914              
162    1.0911e-13      1.15772e-13           4.53532e-13           2.35072e-13           5.90662e-14           8.67908e-15           7.28082e-16           3.05091e-17           5.57074e-19           0.419533              
163    5.9798e-14      6.53219e-14           2.49893e-13           1.26807e-13           3.13512e-14           4.59385e-15           3.97954e-16           1.88532e-17           4.82137e-19           0.417045              
164    7.92654e-12     3.22818e-11           2.51174e-11           5.2957e-12            6.61938e-13           5.28869e-14           2.56013e-15           6.78587e-17           9.13878e-19           0.286737              
165    2.53731e-15     1.27066e-15           9.44843e-15           6.82101e-15           2.25241e-15           4.45312e-16           5.59395e-17           4.49202e-18           2.44338e-19           0.469762              
166    4.58722e-14     5.69731e-14           1.95632e-13           9.07592e-14           2.06061e-14           2.77452e-15           2.21949e-16           1.0149e-17            3.15343e-19           0.40542               
167    7.50477e-12     3.31267e-11           2.22386e-11           4.16724e-12           4.69682e-13           3.4316e-14            1.55099e-15           4.00152e-17           6.02565e-19           0.274864              
168    1.21354e-12     3.25855e-12           4.83018e-12           1.38536e-12           2.13231e-13           1.99142e-14           1.08069e-15           3.06959e-17           4.55181e-19           0.335743              
